Sorting Algorithm,Array Size,Generation Mode,Number of Runs,Average Time,Minimum Time,Maximum Time,Number of Comparisons,Number of Interchanges
Merge Sort,10,RANDOM,10,10490.0,7400.0,24000.0,24,34
Bubble Sort,10,RANDOM,10,3530.0,3000.0,5500.0,44,23
Insertion Sort,10,RANDOM,10,1640.0,1400.0,2800.0,30,23
Selection Sort,10,RANDOM,10,2370.0,1800.0,4400.0,45,10
Heap Sort,10,RANDOM,10,6900.0,4300.0,18200.0,65,25
Quick Sort,10,RANDOM,10,5470.0,3200.0,13500.0,21,20
Merge Sort,10,SORTED,10,39690.0,12100.0,125900.0,19,34
Bubble Sort,10,SORTED,10,1110.0,300.0,4200.0,9,0
Insertion Sort,10,SORTED,10,3320.0,1600.0,16400.0,9,0
Selection Sort,10,SORTED,10,11520.0,6300.0,40500.0,45,10
Heap Sort,10,SORTED,10,133340.0,5100.0,1086200.0,77,30
Quick Sort,10,SORTED,10,41680.0,6000.0,288600.0,22,27
Merge Sort,10,INVERSELY_SORTED,10,6830.0,5100.0,16100.0,15,34
Bubble Sort,10,INVERSELY_SORTED,10,4190.0,3800.0,5300.0,45,45
Insertion Sort,10,INVERSELY_SORTED,10,2230.0,2100.0,2800.0,45,45
Selection Sort,10,INVERSELY_SORTED,10,2570.0,2400.0,3300.0,45,10
Heap Sort,10,INVERSELY_SORTED,10,1530.0,1300.0,2800.0,62,21
Quick Sort,10,INVERSELY_SORTED,10,24080.0,4300.0,195000.0,35,31
Merge Sort,10,NEARLY_SORTED,10,7300.0,4200.0,32800.0,23,34
Bubble Sort,10,NEARLY_SORTED,10,2750.0,2600.0,3600.0,44,20
Insertion Sort,10,NEARLY_SORTED,10,1520.0,1100.0,3100.0,27,20
Selection Sort,10,NEARLY_SORTED,10,2330.0,2000.0,3300.0,45,10
Heap Sort,10,NEARLY_SORTED,10,1360.0,1100.0,2500.0,70,26
Quick Sort,10,NEARLY_SORTED,10,11010.0,3000.0,66500.0,24,18
Merge Sort,10,RANDOM,10,5290.0,4600.0,7700.0,24,34
Bubble Sort,10,RANDOM,10,3530.0,3200.0,5000.0,44,26
Insertion Sort,10,RANDOM,10,1620.0,1400.0,2200.0,33,26
Selection Sort,10,RANDOM,10,2510.0,2400.0,2900.0,45,10
Heap Sort,10,RANDOM,10,1520.0,1300.0,2500.0,65,24
Quick Sort,10,RANDOM,10,4640.0,3800.0,6600.0,31,33
Merge Sort,10,SORTED,10,11760.0,9800.0,17800.0,19,34
Bubble Sort,10,SORTED,10,1620.0,1500.0,2000.0,9,0
Insertion Sort,10,SORTED,10,1980.0,1800.0,2200.0,9,0
Selection Sort,10,SORTED,10,7250.0,6700.0,9300.0,45,10
Heap Sort,10,SORTED,10,3080.0,2900.0,3800.0,77,30
Quick Sort,10,SORTED,10,32320.0,10800.0,93200.0,24,33
Merge Sort,10,INVERSELY_SORTED,10,37050.0,1000.0,349800.0,15,34
Bubble Sort,10,INVERSELY_SORTED,10,3110.0,2600.0,5400.0,45,45
Insertion Sort,10,INVERSELY_SORTED,10,3410.0,1500.0,16300.0,45,45
Selection Sort,10,INVERSELY_SORTED,10,2310.0,1500.0,7600.0,45,10
Heap Sort,10,INVERSELY_SORTED,10,18200.0,800.0,162100.0,62,21
Quick Sort,10,INVERSELY_SORTED,10,11420.0,2600.0,84200.0,22,30
Merge Sort,10,NEARLY_SORTED,10,2180.0,1300.0,4800.0,22,34
Bubble Sort,10,NEARLY_SORTED,10,3300.0,2700.0,5900.0,44,19
Insertion Sort,10,NEARLY_SORTED,10,1900.0,1000.0,3000.0,25,19
Selection Sort,10,NEARLY_SORTED,10,3620.0,1900.0,6200.0,45,10
Heap Sort,10,NEARLY_SORTED,10,1770.0,1500.0,2600.0,77,29
Quick Sort,10,NEARLY_SORTED,10,4290.0,3300.0,7500.0,27,25
Merge Sort,10,RANDOM,10,1770.0,1600.0,2400.0,24,34
Bubble Sort,10,RANDOM,10,3290.0,2900.0,4100.0,44,23
Insertion Sort,10,RANDOM,10,1490.0,1300.0,2000.0,30,23
Selection Sort,10,RANDOM,10,2510.0,2100.0,3100.0,45,10
Heap Sort,10,RANDOM,10,3290.0,1400.0,18100.0,65,25
Quick Sort,10,RANDOM,10,3620.0,2900.0,4900.0,21,22
Merge Sort,10,SORTED,10,1500.0,1300.0,2200.0,19,34
Bubble Sort,10,SORTED,10,560.0,400.0,900.0,9,0
Insertion Sort,10,SORTED,10,640.0,500.0,1000.0,9,0
Selection Sort,10,SORTED,10,2230.0,1800.0,3500.0,45,10
Heap Sort,10,SORTED,10,1850.0,1500.0,2700.0,77,30
Quick Sort,10,SORTED,10,2930.0,2200.0,6100.0,23,26
Merge Sort,10,INVERSELY_SORTED,10,1800.0,1000.0,5600.0,15,34
Bubble Sort,10,INVERSELY_SORTED,10,3680.0,3100.0,5400.0,45,45
Insertion Sort,10,INVERSELY_SORTED,10,1910.0,1600.0,2800.0,45,45
Selection Sort,10,INVERSELY_SORTED,10,2110.0,1700.0,2500.0,45,10
Heap Sort,10,INVERSELY_SORTED,10,1430.0,1100.0,2700.0,62,21
Quick Sort,10,INVERSELY_SORTED,10,2200.0,1800.0,2900.0,26,30
Merge Sort,10,NEARLY_SORTED,10,1710.0,1000.0,4900.0,22,34
Bubble Sort,10,NEARLY_SORTED,10,2320.0,1900.0,3000.0,39,14
Insertion Sort,10,NEARLY_SORTED,10,1100.0,900.0,1900.0,23,14
Selection Sort,10,NEARLY_SORTED,10,2290.0,1800.0,4200.0,45,10
Heap Sort,10,NEARLY_SORTED,10,1740.0,1100.0,2900.0,74,28
Quick Sort,10,NEARLY_SORTED,10,5500.0,1600.0,27400.0,24,25
Merge Sort,10,RANDOM,10,1490.0,1000.0,2600.0,21,34
